num_agent_words,seed,best_word,pairwise_max,pairwise_min,pairwise_mean,pairwise_std,centroid_mean,centroid_std,centroid_min,centroid_max,intra_group_variance,best_margin,best_min_pos,best_max_neg,n_agents_total,n_innocents_total,n_agents_selected,decoder_top_k,decoder_top_k_str,matches_count,matches_rate,matches_words,matches_words_str,selected_agent_words,selected_agent_words_str,first_match_rank,leading_matches_prefix
2,42,cagoule,0.7328813672065735,0.7328813672065735,0.7328813672065735,0.0,0.9308280944824219,9.42432194506182e-08,0.9308280348777771,0.9308282136917114,0.06917190551757812,0.04372984170913696,0.7490585446357727,0.7053287029266357,9,16,2,"['rain', 'bag']",rain|bag,2,1.0,"['rain', 'bag']",rain|bag,"['bag', 'rain']",bag|rain,1,2
2,43,branchiostegidae,0.7059561014175415,0.7059561014175415,0.7059561014175415,0.0,0.9235681891441345,1.1920928955078125e-07,0.923568069934845,0.9235683083534241,0.07643181085586548,0.04623448848724365,0.728480875492096,0.6822463870048523,9,16,2,"['fish', 'branch']",fish|branch,2,1.0,"['fish', 'branch']",fish|branch,"['branch', 'fish']",branch|fish,1,2
2,44,fuckhead,0.7035107016563416,0.7035107016563416,0.7035107016563416,0.0,0.9229059219360352,9.42432194506182e-08,0.9229058027267456,0.9229059815406799,0.07709407806396484,0.09889161586761475,0.7865725755691528,0.6876809597015381,9,16,2,"['anger', 'head']",anger|head,2,1.0,"['anger', 'head']",anger|head,"['head', 'anger']",head|anger,1,2
2,45,nebule,0.7444579601287842,0.7444579601287842,0.7444579601287842,0.0,0.9339319467544556,9.42432194506182e-08,0.9339318871498108,0.9339320659637451,0.06606805324554443,0.06318962574005127,0.7795299291610718,0.7163403034210205,9,16,2,"['cloud', 'galaxy']",cloud|galaxy,2,1.0,"['cloud', 'galaxy']",cloud|galaxy,"['galaxy', 'cloud']",galaxy|cloud,1,2
2,46,directing,0.7195412516593933,0.7195412516593933,0.7195412516593933,0.0,0.9272384643554688,1.1920928955078125e-07,0.9272383451461792,0.9272385835647583,0.07276153564453125,0.05684328079223633,0.7766095995903015,0.7197663187980652,9,16,2,"['direction', 'movie']",direction|movie,2,1.0,"['direction', 'movie']",direction|movie,"['direction', 'movie']",direction|movie,1,2
2,47,brewing,0.8049355745315552,0.8049355745315552,0.8049355745315552,0.0,0.9499830007553101,1.519626238177807e-07,0.9499828815460205,0.9499831795692444,0.05001699924468994,0.14656883478164673,0.8745411038398743,0.7279722690582275,9,16,2,"['beer', 'coffee']",beer|coffee,2,1.0,"['beer', 'coffee']",beer|coffee,"['coffee', 'beer']",coffee|beer,1,2
2,48,cataplastic,0.7025462985038757,0.7025462985038757,0.7025462985038757,0.0,0.9226446151733398,1.519626238177807e-07,0.9226444959640503,0.9226447939872742,0.07735538482666016,0.047747254371643066,0.757474958896637,0.7097277045249939,9,16,2,"['plastic', 'cat']",plastic|cat,2,1.0,"['plastic', 'cat']",plastic|cat,"['cat', 'plastic']",cat|plastic,1,2
2,49,ringleted,0.7129682302474976,0.7129682302474976,0.7129682302474976,0.0,0.9254641532897949,9.42432194506182e-08,0.9254640936851501,0.9254642724990845,0.07453584671020508,0.06801313161849976,0.7713177800178528,0.703304648399353,9,16,2,"['ring', 'hair']",ring|hair,2,1.0,"['ring', 'hair']",ring|hair,"['ring', 'hair']",ring|hair,1,2
2,50,goalkeeper,0.784852147102356,0.784852147102356,0.784852147102356,0.0,0.9446830749511719,4.214684778958144e-08,0.9446830749511719,0.9446831345558167,0.055316925048828125,0.08213996887207031,0.7749956250190735,0.6928556561470032,9,16,2,"['goal', 'sport']",goal|sport,2,1.0,"['goal', 'sport']",goal|sport,"['goal', 'sport']",goal|sport,1,2
2,51,ammoniacal,0.7327091097831726,0.7327091097831726,0.7327091097831726,0.0,0.9307819604873657,0.0,0.9307819604873657,0.9307819604873657,0.06921803951263428,0.05758190155029297,0.7556069493293762,0.6980250477790833,9,16,2,"['smell', 'solution']",smell|solution,2,1.0,"['smell', 'solution']",smell|solution,"['smell', 'solution']",smell|solution,1,2
3,42,recess,0.711915910243988,0.7027888894081116,0.7068741917610168,0.00378696178086102,0.8969854712486267,0.0014072457561269403,0.8951119184494019,0.8985035419464111,0.10301452875137329,0.02194690704345703,0.7409084439277649,0.7189615368843079,9,16,3,"['rectangle', 'alley', 'camp']",rectangle|alley|camp,3,1.0,"['rectangle', 'alley', 'camp']",rectangle|alley|camp,"['camp', 'rectangle', 'alley']",camp|rectangle|alley,1,3
3,43,tranche,0.7335407733917236,0.7069213390350342,0.7240177989006042,0.012115191668272018,0.9033336639404297,0.00447052763774991,0.8998198509216309,0.9096423387527466,0.09666633605957031,0.023135900497436523,0.7178926467895508,0.6947567462921143,9,16,3,"['branch', 'orange', 'wine']",branch|orange|wine,3,1.0,"['branch', 'orange', 'wine']",branch|orange|wine,"['branch', 'orange', 'wine']",branch|orange|wine,1,3
3,44,horrified,0.7362802624702454,0.7127118110656738,0.724157989025116,0.009633651003241539,0.9033854007720947,0.0035545891150832176,0.8989125490188599,0.9076087474822998,0.09661459922790527,0.044580042362213135,0.7344611883163452,0.6898811459541321,9,16,3,"['darkness', 'revealed', 'anger']",darkness|revealed|anger,3,1.0,"['darkness', 'revealed', 'anger']",darkness|revealed|anger,"['revealed', 'darkness', 'anger']",revealed|darkness|anger,1,3
3,45,perfumed,0.7482625246047974,0.7311667203903198,0.7390487194061279,0.007042588200420141,0.9088630676269531,0.0025829703081399202,0.9054837226867676,0.9117538332939148,0.09113693237304688,0.02265220880508423,0.7249930500984192,0.702340841293335,9,16,3,"['body', 'butter', 'dream']",body|butter|dream,3,1.0,"['body', 'butter', 'dream']",body|butter|dream,"['body', 'dream', 'butter']",body|dream|butter,1,3
3,46,superman,0.7740835547447205,0.7080157995223999,0.7436356544494629,0.027218852192163467,0.9105440974235535,0.009964213706552982,0.8993979096412659,0.9235838055610657,0.08945590257644653,0.032443225383758545,0.7564786672592163,0.7240354418754578,9,16,3,"['sun', 'love', 'movie']",sun|love|movie,3,1.0,"['sun', 'love', 'movie']",sun|love|movie,"['sun', 'love', 'movie']",sun|love|movie,1,3
3,47,beverage,0.8049355745315552,0.7500414848327637,0.7699753642082214,0.024801667779684067,0.9201359748840332,0.008984879590570927,0.9074709415435791,0.9273573756217957,0.0798640251159668,0.08438152074813843,0.8371021151542664,0.7527205944061279,9,16,3,"['beer', 'coffee', 'juice']",beer|coffee|juice,3,1.0,"['beer', 'coffee', 'juice']",beer|coffee|juice,"['juice', 'coffee', 'beer']",juice|coffee|beer,1,3
3,48,minibus,0.7292166948318481,0.6824151277542114,0.7113928198814392,0.02067047916352749,0.8986630439758301,0.007667113561183214,0.8920515775680542,0.9094114303588867,0.10133695602416992,0.025403261184692383,0.7197574377059937,0.6943541765213013,9,16,3,"['bus', 'miniature', 'holiday']",bus|miniature|holiday,3,1.0,"['bus', 'miniature', 'holiday']",bus|miniature|holiday,"['miniature', 'holiday', 'bus']",miniature|holiday|bus,1,3
